Name,Type,Climate,Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,% in Lair,Treasure,Alignment,No. Appearing,AC,Movement,HD,Thac0,No. Attacks,Damage,Special Attack,Special Defence,MR,Size,Morale,Psionic Ability,A/D Modees,Level,XP,Source,Edition
Denizen,Outsider,Hades,Any,Common,Group,Any,Nil,Average (10-11),N/A,V,LE,1-4,1 or 0,"12, Fl 18",8 or 10,13 or 11,1 or 2,1-6 or 1-8,Nil,Special,30 to 35%,M or L,11-12,Nil,Nil,N/A,650 to 5000,TSR 9249 - FRE3 - Waterdeep,2e
Denzelian,Monster,N/A,Subterranean,Very Rare,Solitary,Any,Rock,Semi (2-4),N/A,Q,N,1-2,0,"3, Br 12",6,15,1,5-20,Special,Nil,Nil,L (10'),8-10,Nil,Nil,N/A,420,"TSR 2132 - Monstrous Compendium, Fiend Folio",2e
Denzelian,Monster,Any,N/A,Very Rare,N/A,N/A,N/A,Semi (2-4),100%,Nil,N,1-2,0,1,6,N/A,Nil,Nil,Nil,Nil,Standard,S,N/A,Nil,Nil,Nil,Nil,TSR 2012 - Fiend Folio (First Edition),1e
Deryni,Humanoid,N/A,N/A,Rare,N/A,N/A,N/A,Very to Genius (11-18),25%,K (Leaders: M),Varies,Varies,Varies,12,Varies,N/A,1,By weapon,Psionics,Psioincs,Standard,M,N/A,Special,Special,II and up,Varies,Dragon078,1e
Deva - Astral,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),0%,Nil,G,1-3,-6,"18, Fl 32 (A), Sw 15",9+36,N/A,2,10-21(x2),Special,Special,65%,M (7'),N/A,210,ABCE/FGH,X,10100+25,TSR 2016 - Monster Manual II (First Edition),1e
Deva - Monadic,Outsider,N/A,N/A,Rare,N/A,N/A,N/A,Genius (17-18),0%,Nil,G,1-4,-4,"15, Fl 36 (B), Sw 18",8+32,N/A,2,7-16(x2),Special,Special,60%,M (6'),N/A,Nil,Nil,IX,8100+20,TSR 2016 - Monster Manual II (First Edition),1e
Deva - Movanic,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,G,1-6,-5,"12, Fl 30 (B), Sw 21",7+28,N/A,2,By weapon +5,Special,Special,55%,M (6.5'),N/A,Nil,Nil,IX,7850+18,TSR 2016 - Monster Manual II (First Edition),1e
Devete,Outsider,Astral Plane,Any,Rare,Solitary,Any,N/A,Average (8-10),N/A,Nil,N,1 (1-3),6,12 (42 on astral),4,17,3,Varies,Mimicry,Mimicry; Immunities,Nil,M (5'),13-14,Nil,Nil,N/A,975,TSR 2635 - Monstrous Compendium - Planescape Appendix III,2e
Devil - Arch - Astaroth,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Supra-genius (19-20),95%,Unlimited,LE,1,-6,"18 (dragon: 9, Fl 24)",155 hp,N/A,1,1-8,Snake attack,+3 to hit,90%,L (8'),N/A,Nil,Immune,???,???,Dragon028,1e
Devil - Arch - Belial,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),1%,"U,W",LE,1,-4,"12 (chariot: 24, Fl 48)",122 hp,N/A,1,3-18,Poison,+2 to hit,80%,L (11'),N/A,222,All/All,???,???,Dragon028,1e
Devil - Arch - Belial,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),75%,"A,S,T,Y",LE,1,-4,"9, Fl 15 (B)",154 hp,N/A,2,By weapon +7,Special,Special,80%,L (10'),N/A,279,All/All,X,30000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Arch - Gargoth,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Supra-genius (19-20),0%,Special,LE,1,-6,"16, Fl 20",177 hp,N/A,2,By weapon +7,Special,Special,90%,L (8'),N/A,311,All/All,???,???,Dragon091,1e
Devil - Arch - Mammon,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),65%,"H,R",LE,1,-3,"6, Fl 12 (D)",139 hp,N/A,2,By weapon +7,Special,Special,75%,L (12'),N/A,259,All/All,X,32000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Arch - Mephistopheles,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Supra-genius (19-20),70%,"R,X,Z",LE,1,-6,"15, Fl 18 (C)",188 hp,N/A,2,By weapon +9,Special,Special,85%,L (9'),N/A,309,All/All,X,49000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Arch - Moloch,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),95%,"I,R,S,T,X",LE,1,-3,12,126 hp,N/A,3,8-11(x2)/4-16,Special,Special,70%,L (14.5'),N/A,226,All/All,X,42000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Arch - Satan,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Godlike (21+),5%,"Hx2,Ix2,Ux2",LE,1,-8,"""Whatever is necessary""",333 hp,N/A,1,10-100,Nil,"+3 and ""purity of heart"" to hit",95%,Varies,N/A,Infinite,All/All,???,???,Dragon028,1e
Devil - Arch - Satan,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Godlike (21+),5%,"Hx2,Ix2,Ux2",LE,1,-8,"""Whatever is necessary""",333 hp,N/A,1,10-100,Nil,"+3 and ""purity of heart"" to hit",95%,Varies,N/A,Infinite,All/All,Special,Special,Dragon028,1e
Devil - Arch - Tiamat,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),90%,"100% H,S,T,U",LE,1,-3,"6, Fl 18",16 (128 hp),N/A,6,2-16/3-18/2-20/3-24/3-30/1-6,Breath weapons; Poison; Magic use,"+2 to hit; Half damage from fire, cold, acid, lighting, and gas; Immune to hold, charm, death magic, suggestion",75% (prime) or 105% (Hell),L (60'),N/A,Nil,Nil,???,???,Dragon038,1e
Devil - Arch-Devil - Asmondus,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Supra-genius (19-20),90%,"I,R,U,V",LE,1,-7,"12, Fl 24",199 hp,N/A,1,4-14,Special,+3 to hit,90%,L (13.5'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Arch-Devil - Baalzebul,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),80%,"E,R,V",LE,1,-5,"9, Fl 24",166 hp,N/A,1,2-12 + poison,Special,+3 to hit,85%,L (12'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Arch-Devil - Dispater,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Genius (17-18),80%,"Q(x10),S",LE,1,-2,15,144 hp,N/A,Special,Special,Special,+2 to hit,80%,M (7'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Arch-Devil - Geryon,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,Exceptional (15-16),70%,"H,R",LE,1,-3,"3, Fl 18",133 hp,N/A,3,3-18(x2)/2-8,Special,+2 to hit,75%,L (10'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Chancellor - Adramalech,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),90%,"I,S,T",LE,1,-1,14,113 hp,N/A,1,By weapon +6,Special,Special,75%,M (6'),N/A,245,All/All,???,???,Dragon076,1e
Devil - Duke - Abigor,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),65%,"A,I",LE,1,-2,"14, Fl 22",120 hp,N/A,1,2-16 or by weapon +7,Special,Special,70%,L (7.5'),N/A,210,All/All,???,???,Dragon076,1e
Devil - Duke - Adonides,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"R,X,Z",LE,1,-2,"16, Fl 28",121 hp,N/A,2,By weapon +7,Special,Special,70%,L (8'),N/A,228,All/All,???,???,Dragon076,1e
Devil - Duke - Agares,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),65%,"G,P",LE,1,-1,15,119 hp,N/A,1,By weapon +6,Special,Special,65%,L (8'),N/A,232,All/All,???,???,Dragon075,1e
Devil - Duke - Alocer,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),50%,"G,P",LE,1,-2,12,90 hp,N/A,2,2-8/By weapon +4,Special,Special,65%,L (7'),N/A,196,All/All,???,???,Dragon075,1e
Devil - Duke - Amduscias,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),20%,Special,LE,1,-2,Special (Only when 'picked-up' by males),92 hp,N/A,Special,Special,Special,+2 to hit,65%,Special,N/A,216,All/All,???,???,Dragon075,1e
Devil - Duke - Amon,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),60%,"G,P",LE,1,-2,18,126 hp,N/A,2,3-12/By weapon +7,Special,Special,70%,L (9'),N/A,229,All/All,X,30000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Duke - Arioch,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),65%,Special,LE,1,-4,"14, Fl 20",123 hp,N/A,2,1-6/by weapon +6,Special,Special,70%,L (9'),N/A,226,All/All,???,???,Dragon075,1e
Devil - Duke - Bael,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"G,P",LE,1,-3,12,106 hp,N/A,2,By weapon +6,Special,Special,70%,L (8'),N/A,206,All/All,X,35000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Duke - Balan,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"C,P",LE,1,-3,12,112 hp,N/A,2,By weapon +6,Special,Special,70%,M (9'),N/A,219,All/All,???,???,Dragon075,1e
Devil - Duke - Barbas,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),95%,"R,X,Z",LE,1,-3,16,110 hp,N/A,2,By weapon +7,Special,Special,65%,L (10'),N/A,224,All/All,???,???,Dragon076,1e
Devil - Duke - Barbatos,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),60%,Special,LE,1,-3,16,122 hp,N/A,2,By weapon +7,Special,Special,70%,L (12'),N/A,212,All/All,???,???,Dragon076,1e
Devil - Duke - Bathym,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"C,P",LE,1,-2,14,102 hp,N/A,1,2-8 or by weapon +5,Special,Special,70%,M (6'),N/A,221,All/All,???,???,Dragon075,1e
Devil - Duke - Bele,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),95%,Nil,LE,1,-3,"14, Fl 20",112 hp,N/A,1,By weapon +8,Special,Special,70%,M (6'),N/A,232,All/All,???,???,Dragon076,1e
Devil - Duke - Biffant,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),90%,"Qx8,S",LE,1,-1,14,84 hp,N/A,1,By weapon +3,Special,Special,70%,M (6'),N/A,219,All/All,???,???,Dragon075,1e
Devil - Duke - Bifrons,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),65%,"R,Qx6,Z",LE,1,-3,18,141 hp,N/A,2,Special,Special,Special,65%,L (12'),N/A,228,All/All,???,???,Dragon076,1e
Devil - Duke - Bileth,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),75%,"C,P",LE,1,-3,"14, Fl 21",121 hp,N/A,2,2-12(x2),Special,Special,70%,L (9.5'),N/A,224,All/All,???,???,Dragon076,1e
Devil - Duke - Bitru,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),50%,"G,P",LE,1,-1,"12, Fl 18",99 hp,N/A,2,By weapon +6,Special,Special,65%,L (9'),N/A,199,All/All,???,???,Dragon075,1e
Devil - Duke - Buer,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),90%,"H,Qx4",LE,1,-2,22,126 hp,N/A,Special,Special,Special,Special,70%,L (10'),N/A,226,All/All,???,???,Dragon076,1e
Devil - Duke - Bune,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),90%,"I,Qx10,W,Z",LE,1,-3,"12, Fl 18",136 hp,N/A,2,2-5 or by weapon +8,Special,Special,70%,L (12'),N/A,229,All/All,???,???,Dragon076,1e
Devil - Duke - Caarcrinolaas,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"G,P",LE,1,-3,"14, Fl 12",104 hp,N/A,2,By weapon +6,Special,Special,65%,M (7.5'),N/A,203,All/All,???,???,Dragon075,1e
Devil - Duke - Chamo,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),85%,"C,P,S",LE,1,-1,"14, Fl 16",131 hp,N/A,1,By weapon +4,Special,Special,70%,M (6'),N/A,222,All/All,???,???,Dragon075,1e
Devil - Duke - Focalor,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),80%,"F,I,Qx3",LE,1,-3,"12, Fl 16",121 hp,N/A,2,1-6 or by weapon +4,Special,Special,65%,M (6'),N/A,223,All/All,???,???,Dragon075,1e
Devil - Duke - Gaziel,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"P,S",LE,1,-2,16,116 hp,N/A,2,3-12 or by weapon +5,Special,Special,65%,L (12'),N/A,196,All/All,???,???,Dragon075,1e
Devil - Duke - Gorson,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),55%,"A,G,P",LE,1,-2,14,126 hp,N/A,2,By weapon +7,Special,Special,70%,M (6'),N/A,231,All/All,???,???,Dragon075,1e
Devil - Duke - Herodias,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),60%,"A,S,G,P",LE,1,-2,18,129 hp,N/A,2,3-12(x2) or by weapon +7,Special,Special,70%,L (8'),N/A,236,All/All,???,???,Dragon075,1e
Devil - Duke - Hutijin,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),30%,G,LE,1,-4,"9, Fl 18",111 hp,N/A,2,By weapon +8,Special,Special,65%,L (13.5'),N/A,275,All/All,X,30000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Duke - Machalas,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),60%,"G,P",LE,1,-2,"16, Fl 21",122 hp,N/A,2,2-8 or By weapon +6,Special,Special,60%,L (12'),N/A,201,All/All,???,???,Dragon075,1e
Devil - Duke - Malphas,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),20%,Special,LE,1,-3,"12, Fl 30",90 hp,N/A,2,By weapon +5,Special,+2 to hit,70%,Special,N/A,220,All/All,???,???,Dragon075,1e
Devil - Duke - Melchon,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),55%,"G,P",LE,1,-2,13,101 hp,N/A,2,By weapon +5,Special,Special,70%,M (6'),N/A,189,All/All,???,???,Dragon075,1e
Devil - Duke - Merodach,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),50%,"G,P",LE,1,-2,"14, Fl 12",92 hp,N/A,Special,Special,Special,Special,65%,L (12'),N/A,196,All/All,???,???,Dragon075,1e
Devil - Duke - Morax,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),90%,"H,I,Y",LE,1,-3,"12, Fl 16",135 hp,N/A,2,3-12(x2),Special,Special,75%,L (12'),N/A,223,All/All,???,???,Dragon076,1e
Devil - Duke - Neabaz,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),15%,Special,LE,1,-3,"16, Fl 30",124 hp,N/A,2,1-6 or by weapon +4,Special,Special,70%,M (6'),N/A,190,All/All,???,???,Dragon076,1e
Devil - Duke - Rimmon,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),90%,"Qx6,R",LE,1,-4,9,125 hp,N/A,3,2-8(x2)/4-16,Special,Special,65%,L (12'),N/A,224,All/All,???,???,Dragon076,1e
Devil - Duke - Tartach,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),75%,"C,I,P",LE,1,-2,12,114 hp,N/A,1,By weapon +7,Special,Special,70%,L (10'),N/A,212,All/All,???,???,Dragon076,1e
Devil - Duke - Titivilus,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Supra-genius (19-20),35%,"G,S,T",LE,1,-2,"15, Fl 30 (D)",86 hp,N/A,2,By weapon +3,Special,Special,75%,M (5.5'),N/A,239,All/All,X,29000,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Duke - Zagum,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),85%,"C,P",LE,1,-2,12,127 hp,N/A,3,3-12(x2)/4-16,Special,Special,65%,L (16'),N/A,228,All/All,???,???,Dragon076,1e
Devil - Duke - Zepar,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),65%,"A,P",LE,1,-3,14,118 hp,N/A,1,Special,Special,Special,70%,M (5'),N/A,217,All/All,???,???,Dragon076,1e
Devil - Gelugon - Vreesar,Outsider,Baator (Caina),Any,Very Rare,Solitary,Any,Carnivore,Genius (18),N/A,"A,W",LE,1,-3,15,11,9,4,1-4(x2)/2-8/7-16,Tail freeze; Fear,+2 to hit; Regeneration,50%,H (12'),16,Nil,Nil,N/A,39500,TSR 9552 - Villain's Lorebook,2e
Devil - Greater - Armaros,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),0%,Special,LE,1,-1,"14, Fl 20",99 hp,N/A,1,By weapon +4,Special,Special,90%,L (12'),N/A,226,All/All,???,???,Dragon091,1e
Devil - Greater - Azazel,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),0%,Nil,LE,1,-2,"12, Fl 16",97 hp,N/A,3,2-16/1-4(x2) or By weapon +4,Special,+2 to hit,70%,L (10'),N/A,215,All/All,???,???,Dragon091,1e
Devil - Greater - Bist,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,LE,1,-2,14,90 hp,N/A,3,2-5(x2)/2-12,Special,Special,60%,L (9'),N/A,213,All/All,???,???,Dragon075,1e
Devil - Greater - Cahor,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,LE(C),1,-1,14,93 hp,N/A,1,6-11 or by weapon +%,Special,+2 to hit,65%,M (6'),N/A,215,All/All,???,???,Dragon091,1e
Devil - Greater - Caim,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,LE,1,-1,"8, Fl 16",93 hp,N/A,1,2-12,Special,+2 to hit,65%,S (5'),N/A,213,All/All,???,???,Dragon075,1e
Devil - Greater - Dagon,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Special,LE(N),1,-1,12,91 hp,N/A,1,By weapon +5,Special,Special,65%,M (5'),N/A,211,All/All,???,???,Dragon091,1e
Devil - Greater - Dusker,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Special,LE,1,-4,"12, Fl 22",111 hp,N/A,2,2-8(x2),Special,+2 to hit,85%,M (6'),N/A,219,All/All,???,???,Dragon091,1e
Devil - Greater - Horned,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,High (13-14),55%,I,LE,1-2 (2-5),-5,"9, Fl 18",5+5,N/A,4 or 1+weapon,1-4(x2)/2-5/1-3 or 1-3/by weapon,Special,+1 to hit,50%,L (9'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Greater - Ice,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,High (13-14),60%,"Q,R",LE,1 (1-4),-4,6,11,N/A,4,1-4(x2)/2-8/3-12,Special,+2 to hit,55%,L (10.5'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Greater - Kochbiel,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),20%,Special,LE,1,-3,"6, Fl 15",104 hp,N/A,4,By weapon +8,Special,+2 to hit,65%,L (14'),N/A,215,All/All,???,???,Dragon091,1e
Devil - Greater - Malarea,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,High (13-14),0%,Special,LE,1,-1,"9, Fl 24",96 hp,N/A,3,1-4/2-5(x2) or By weapon +2,Special,+2 to hit,70%,L (7'),N/A,213,All/All,???,???,Dragon091,1e
Devil - Greater - Nergal,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,LE,1,-2,"18, Fl 10",106 hp,N/A,1,3-12,Special,+2 to hit,65%,L (9'),N/A,211,All/All,???,???,Dragon075,1e
Devil - Greater - Nisroch,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,LE,1,-1,"14, Fl 6",99 hp,N/A,3,3-12/1-4(x2),Special,+2 to hit,65%,L (11'),N/A,217,All/All,???,???,Dragon091,1e
Devil - Greater - Pit Fiend,Outsider,N/A,N/A,Rare,N/A,N/A,N/A,Exceptional (15-16),65%,"J,R",LE,1 (1-3),-3,"6, Fl 15",13,N/A,2,5-8/7-12,Special,+2 to hit,65%,L (12'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Greater - Rumjal,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),0%,Nil,LE,1,-2,"16, Fl 16",100 hp,N/A,2,2-8(x2),Special,+2 to hit,65%,L (8'),N/A,209,All/All,???,???,Dragon091,1e
Devil - Greater - Styx,Outsider,N/A,N/A,Very Rare,N/A,N/A,N/A,High (13-14),60%,"Q,R",LE,1-2,-1,"6, Fl 15",6+6,N/A,1,2-8,Special,+1 to hit,50%,M,N/A,121,BD/FGH,VII,1275+8,TSR 2012 - Fiend Folio (First Edition),1e
Devil - Inquisitor - Phongor,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),80%,"Qx2,Z",LE,1,-1,16,129 hp,N/A,1,By weapon +5,Special,Special,80%,M (6'),N/A,249,All/All,???,???,Dragon076,1e
Devil - Least - Nupperibo,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Special,0%,Nil,LE,10-100,9,6,1,N/A,2 or 1,By weapon or 1-2(x2),Nil,Regeneration,Standard,M,N/A,Nil,Nil,I,18+1,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Least - Spined,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Low to Average (5-10),10%,Nil,LE,2-5 (5-20),3,"6, Fl 18 (C)",3+3,N/A,1 or 2,By weapon or 1-4(x2),Special,Special,25%,S (3'),N/A,Nil,Nil,IV,240+4,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lemure,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Semi (2-4),100%,Nil,LE,5-30,7,3,3,N/A,1,1-3,Nil,Special,Standard,M,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Lesser - Abishai - Black,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Average (8-10),20%,Nil,LE,1-4 (2-8),2,"9, Fl 12",8,N/A,1,5-14,Special,Special,35%,L (8'),N/A,Nil,Nil,VI,855+10,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lesser - Abishai - Blue,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Average (8-10),35%,Nil,LE,1-4 (3-12),3,"15, Fl 15",5+1,N/A,1,5-10,Special,Special,20%,M (5'),N/A,Nil,Nil,VI,550+6,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lesser - Abishai - Green,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Average (8-10),30%,Nil,LE,1-3 (3-9),3,"12, Fl 15",6,N/A,1,4-10,Special,Special,25%,M (6'),N/A,Nil,Nil,VI,550+6,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lesser - Abishai - Red,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Average (8-10),40%,Nil,LE,1-4 (3-12),1,"18, Fl 18",4+2,N/A,2,2-5(x2),Special,Special,40%,S (4'),N/A,Nil,Nil,V,320+5,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lesser - Abishai - White,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Average (8-10),25%,Nil,LE,1-3 (3-13),3,"9, Fl 15",7,N/A,2,4-9(x2),Special,Special,30%,M (7'),N/A,Nil,Nil,VI,650+8,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lesser - Barbed,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,Very (11-12),50%,Nil,LE,1-2 (3-12),0,12,8,N/A,3,2-8(x2)/3-12,Special,Special,35%,M (7'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Lesser - Bearded,Outsider,N/A,N/A,Common,N/A,N/A,N/A,Average to Very (8-12),15%,Nil,LE,1-2 (4-10),1,15,6+6,N/A,1 or 3,1-8/1-2(x2) or by weapon,Special,Special,45%,M (6.5'),N/A,Nil,Nil,VII,1125+10,TSR 2016 - Monster Manual II (First Edition),1e
Devil - Lesser - Bone,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,Very (11-12),55%,Nil,LE,1-2 (2-8),-1,15,9,N/A,1,3-12,Special,Special,40%,L (9.5'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Lesser - Erinyes,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,Average (8-10),20%,R,LE,1-3 (4-16),2,"6, Fl 21",6+6,N/A,1,2-8,Special,Special,30%,M (6'),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Devil - Lesser - Nonservus,Outsider,N/A,N/A,Uncommon,N/A,N/A,N/A,Low (5-7),65%,Nil,LE,2-8,1,3,7+2,N/A,1,3-12,Spells; Boiling oil,"Immune to heat,  poison; Regeneration",80%,L (7.5'),N/A,Nil,Nil,???,???,Dragon120,1e
Devil - Of the Tarot,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,As drawer,0%,Nil,NE,1,As drawer,"9, Fl 15",As drawer,As drawer,4,1-4(x2)/1-2(x2),Feet claw for 1-4(x2); Surprise; Special,Can be attacked only by drawer,15%,As drawer,N/A,Nil,Nil,???,???,Dragon077,1e
Devil - Princess - Baalphegor,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Supra-genius (19-20),90%,"R,X,Z",LE,1,-2,"19, Fl 29",82 hp,N/A,1,2-12,Special,Special,80%,M (5.5'),N/A,229,All/All,???,???,Dragon076,1e
Devil - Princess - Baftis,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Genius (17-18),80%,"D,G",LE,1,-1,"16, Fl 30",79 hp,N/A,2,2-8 or by weapon +5,Special,Special,75%,L (9'),N/A,220,All/All,???,???,Dragon076,1e
Devil - Princess - Cozbi,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),90%,"C,E",LE,1,-1,"14, Fl 24",67 hp,N/A,1,By weapon +4,Special,Special,70%,L (7'),N/A,229,All/All,???,???,Dragon075,1e
Devil - Princess - Glasya,Outsider,N/A,N/A,Unique,N/A,N/A,N/A,Exceptional (15-16),80%,"I,Qx5,S",LE,1,-2,"15, Fl 30 (B)",69 hp,N/A,2,By weapon +4,Special,Special,60%,L (9'),N/A,206,All/All,X,20000,TSR 2016 - Monster Manual II (First Edition),1e
