Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
"Astral Tasker, 6th Level (wheeled)",Large,Construct,,10,85,70,,12,7,12,23,-,-,-,,"DV60, ectoplasmic form, hardness 20, LLV; resistance twice from Menu A or heavy armor or buff from Menu B",3,1,-2,35,6,-,-,1,1,Any,always,NN,2    ,Web,,,,,,,,,,,,,,,,
"Astral Tasker, 7th Level (humanoid)",Large,Construct,,13,101,30,,12,7,12,27,-,-,One Menu C ability (except gore) useable 3/day,,"DV60, ectoplasmic form, hardness 20, LLV; resistance twice from Menu A or heavy armor or buff from Menu B",4,2,-1,39,6,-,-,1,1,Any,always,NN,3    ,Web,,,,,,,,,,,,,,,,
"Astral Tasker, 7th Level (multiple legs)",Large,Construct,,13,101,50,,12,7,12,27,-,-,One Menu C ability (except gore) useable 3/day,,"DV60, ectoplasmic form, hardness 20, LLV; resistance twice from Menu A or heavy armor or buff from Menu B",4,2,-1,39,6,-,-,1,1,Any,always,NN,3    ,Web,,,,,,,,,,,,,,,,
"Astral Tasker, 7th Level (wheeled)",Large,Construct,,13,101,70,,12,7,12,27,-,-,One Menu C ability (except gore) useable 3/day,,"DV60, ectoplasmic form, hardness 20, LLV; resistance twice from Menu A or heavy armor or buff from Menu B",4,2,-1,39,6,-,-,1,1,Any,always,NN,3    ,Web,,,,,,,,,,,,,,,,
Asura,Medium,Outsider,"Chaotic, Extraplanar, Good",8,52,30,f60 (gd),26,12,24,10,+1 flaming scimitar +13 (1d6+4/18-20 plus 1d6 fire) or claw +11 (1d8+3/19-20) or masterwork composite longbow (+3 Str bonus) +11 (1d8+3/x3),+1 flaming scimitar +13/+8 (1d6+4/18-20 plus 1d6 fire); or 2 claws +11 (1d8+3/19-20) and +1 flaming scimitar +8 (1d6+2/18-20 plus 1d6 fire); or masterwork composite longbow (+3 Str bonus) +11/+6 (1d8+3/x3),"Burning wind, SLAs","CL8, at will - detect good, detect evil, discern lies, true seeing; 1/day - holy smite, magic circle against evil (self only)","Alternate form, DR 5/cold iron or evil, DV60, immunity to charms, compulsions, fire, and petrification, SR 19",8,8,8,16,14,15,10,14,17,Upper Planes,always,CG,8    ,BoED,,,,,,,,,,,,,,,,
Athach,Huge,Aberration,,14,133,35,,20,9,19,26,Morningstar +16 (3d6+8) or rock +9 ranged (2d6+8),Morningstar +12/+7 (3d6+8) and 2 morningstars +12 (3d6+4) and bite +12 (2d8+4 plus poison) or rock +5 ranged (2d6+8) and 2 rocks +5 ranged (2d6+4),Poison,,DV60,9,5,10,26,13,21,7,12,6,Temperate hills,often,CE,8    ,MM1,,,,,,,,,,,,,,,,
Atropal Scion,Medium,Undead,,9,67,,f30 (gd),25,17,23,5,Slam +6 (1d8+1),Same as Attack,"Death gaze, negative energy aura, rebuke undead 5/day, SLAs","CL9, 3/day - animate dead, create undead, cone of cold, desecrate, dispel magic, invisibility, plane shift, speak with dead, teleport","DR 10/adamantine, DV60, FH8, unholy grace",7,11,16,13,15,-,16,22,20,Any,always,CE,11,LM,,,,,,,,,,,,,,,,
Aurumvorax (Golden Gorger),Small,Magical Beast,,10,65,20,b5,23,14,20,6,Bite +11 (1d4),Bite and 4 claws +9 (1d3),"Improved grab, rend 2d3",,DV60,8,10,0,11,16,12,3,12,12,Temperate mountains,always,NN,7    ,Web,,,,,,,,,,,,,,,,
"Dinosaur, Rhamphorhynchus",Tiny,Animal,,1,3,10,f60 (gd),17,17,12,-12,Bite +17 (1d3-4),Same as Attack,-,,"Evasion, LLV, scent",1,7,1,2,21,8,2,12,10,Warm forests,always,NN,1/4,318,,,,,,,,,,,,,,,,
"Automaton, Hammerer",Medium,Construct,,5,47,20,,21,10,21,10,Slam +10 (2d8+10),Same as Attack,-,,"DV60, unreliable",1,1,0,25,11,-,-,9,4,Any,always,NN,4    ,MM2,,,,,,,,,,,,,,,,
"Automaton, Pulverizer",Medium,Construct,,3,36,40,,21,10,21,7,Slam +7 (1d6+5),2 slams,Sonic shriek,,"Blindsight 40ft, DV60, unreliable",1,1,0,21,11,-,-,9,4,Any,always,NN,4    ,MM2,,,,,,,,,,,,,,,,
Avalancher,Large,Magical Beast,Earth,6,63,40,"b10, c20",18,10,17,16,Slam +11 (1d8+9),Same as Attack,"Cause avalanche, transmute rock to mud",,"All-around vision, DV60, immunity to bludgeoning damage, LLV",10,6,3,22,12,21,5,12,11,Cold mountains,always,NN,5    ,MM3,,,,,,,,,,,,,,,,
"Avatar of Elemental Evil, Black Rock Triskelion",Large,Elemental,"Earth, Extraplanar",26,377,20,b20,30,8,30,34,Piercing arm +30 (2d6+11/19-20/x4) or spike +17 (1d8+11/x3),3 piercing arms or 6 spikes,Metal strike,,"DR 10/adamantine and magic, DV60, endure pain, FH5, SR 23, stability, tremorsense 60ft, vulnerability to sonic",27,9,11,33,8,31,5,12,8,Elemental Plane of Earth,always,NE,18,MM4,,,,,,,,,,,,,,,,
"Avatar of Elemental Evil, Cyclonic Ravager",Large,Elemental,"Air, Extraplanar",26,169,30,f90 (prf),25,25,15,28,Smite of seven winds +28 (4d6+7 or 1d6+7),Same as Attack,"Buffeting winds, smite of seven winds",,"DR 10/magic, DV60, deflecting winds, improved evasion, natural invisibility, SR 23",10,27,11,21,31,15,12,12,16,Elemental Plane of Air,always,NE,15,MM4,,,,,,,,,,,,,,,,
"Avatar of Elemental Evil, Holocaust Disciple",Large,Elemental,"Extraplanar, Fire",26,221,30,f40 (prf),21,14,16,28,Fire bolt +24 (8d6 fire/19-20),Same as Attack,"Fire bolt, flame wave, SLAs","CL18, at will - fireball, fire shield (warm shield only); 3/day - wall of fire; 1/day - meteor swarm","DR 10/magic, DV60, elemental grace, FH5, heat aura, immunity to fire, SR 23, vulnerability to cold",20,28,21,21,21,19,14,20,22,Elemental Plane of Fire,always,NE,15,MM4,,,,,,,,,,,,,,,,
"Avatar of Elemental Evil, Waterveiled Assassin",Large,Elemental,"Extraplanar, Water",26,169,30,s60,25,15,19,30,Slam +26 (4d8+10),Same as Attack,"Churn, engulf",,"Blindsight 60ft, DV60, DR 10/-, FH5, liquid body, malleable form, one with water, SR 23",17,16,13,25,23,15,10,16,12,Elemental Plane of Water,always,NE,15,MM4,,,,,,,,,,,,,,,,
Aventi,Medium,Humanoid,"Aquatic, Human",1,5,30,s30,13,10,13,2,Spear +3 (1d8+1),Same as Attack,-,,"Amphibious, human blood, water spell power",3,0,-1,13,11,12,10,9,8,Temperate aquatic,often,LG,1/2,Storm,,,,,,,,,,,,,,,,
"Aventi, Sergeant",Medium,Humanoid,"Aquatic, Human",3,27,30,s30,15,11,14,5,Masterwork halberd +7 (1d10+3/x3),Same as Attack,-,,"Amphibious, human blood, water spell power",5,2,2,15,13,14,10,8,12,Temperate aquatic,often,LG,3    ,Storm,,,,,,,,,,,,,,,,
"Dinosaur, Troodon",Medium,Animal,,1,7,40,,15,12,13,1,Claw +1 (1d4+1),2 claws and bite -3 (1d6),-,,"LLV, scent",5,4,1,12,15,17,2,12,4,Warm forests,always,NN,1/2,318,,,,,,,,,,,,,,,,
Avolakia,Large,Aberration,Shapechanger,10,75,20,,18,18,15,18,Bite +10 (2d6+4 plus poison),Bite and 8 claws +8 (1d4+2),"Poison, SLAs, suggestion","CL14, at will - cause fear, chill touch, detect magic, disrupt undead, gentle repose, ghoul touch, halt undead, mage hand, read magic, spectral hand; 3/day - animate dead, create undead, enervation, vampiric touch","DV60, change shape, defensive aura, immunity to cold, disease, electricity, and energy drain, regeneration 4, resistance to fire 10, SR 21",6,6,12,19,16,17,16,21,22,Underground,usually,NE,10,MM2,,,,,,,,,,,,,,,,
Dog,Small,Animal,,1,6,40,,15,14,12,-3,Bite +2 (1d4+1),Same as Attack,-,,"LLV, scent",4,5,1,13,17,15,2,12,6,Temperate plains,always,NN,1/3,MM1,,,,,,,,,,,,,,,,
Azer,Medium,Outsider,"Extraplanar, Fire",2,11,20,,23,11,22,3,Warhammer +3 (1d8+1/x3 plus 1 fire) or shortspear +3 ranged (1d6+1 plus 1 fire),Same as Attack,Heat,,"DV60, immunity to fire, SR 13+class levels, vulnerability to cold",4,4,4,13,13,13,12,12,9,Elemental Plane of Fire,always,LN,2    ,MM1,,,,,,,,,,,,,,,,
Azurin,Medium,Humanoid,"Human, Incarnum",1,5,20,,17,10,17,2,Masterwork longsword +3 (1d8+1/19-20) or light crossbow +1 (1d8/19-20),Same as Attack,-,,Essentia pool 2,3,0,-1,12,10,13,9,8,11,Any,usually,CG,1/2,MoI,,,,,,,,,,,,,,,,
"Azurin, Cleric",Medium,Humanoid,"Human, Incarnum",3,16,20,,18,10,18,3,Masterwork heavy flail +5 (1d10+1/19-20) or light crossbow +2 (1d8/19-20),Same as Attack,"Smite, spells (clr3)",,"Channel incarnum 5/day, essentia pool 2",4,1,5,12,10,13,8,15,14,Any,usually,LE,3    ,MoI,,,,,,,,,,,,,,,,
"Azurin, Soulborn",Medium,Humanoid,"Human, Incarnum",4,30,20,,17,11,16,6,Masterwork glaive +6 (1d10+5/x3),Same as Attack,"Smite opposition, soulmeld",,"Essentia pool 2, incarnum defense",6,2,1,14,12,15,10,8,14,Any,usually,CE,4    ,MoI,,,,,,,,,,,,,,,,
Baalzebul (Lord of the Seventh),Huge,Outsider,"Baatezu, Evil, Extraplanar, Lawful",38,665,20,"b20, c20",47,22,45,61,Slam +52 (1d10+15 plus 1 vile plus withering/19-20),2 slams,"Fear and weakness gaze, insect gorge, SLAs, summon baatezu, withering touch","CL20, at will - animate dead, blasphemy, charm monster, create greater undead, desecrate, detect good, detect magic, devil's ego, fireball, fiendish quickening, geas/quest, greater dispel magic, greater scrying, hold monster, insect plague, magic circle against good, major image, restoration, resurrection, suggestion, summon swarm, greater teleport, tongue of Baalzebul, true seeing, unholy blight, unhallow, unholy aura, wall of eyes; 1/day - crushing fist of spite, symbol of insanity, symbol of pain, wish","DR 25/good and silver, DV60,  immunity to fire and poison, regeneration 10, resistance to acid 10 and cold 10, see in darkness, SR 41, telepathy 100ft",34,23,30,41,15,36,30,29,27,Baator (Maladomini),always,LE,29,BoVD,,,,,,,,,,,,,,,,
Dragon Newt,Small,Animal,Aquatic,1,4,20,s30,15,14,12,-6,Bite -1 (1d4-2) or acid spit +4 (1d4 acid plus poison),Same as Attack,"Acid spit, poison",,LLV,2,5,1,6,17,10,2,12,8,Temperate marshes,always,NN,1    ,Web,,,,,,,,,,,,,,,,
Bacchae,Medium,Outsider,Extraplanar,2,13,30,,16,11,15,4,Claw +4 (1d4+2) or rock +3 (1d6+3),2 claws or rock,"Debauch, rage, rend 2d4+3, SLAs","CL7, 3/day - charm person, Tasha's hideous laughter; 1/day - either crushing despair, fear, good hope, or rage","DV60, immunity to acid, electricity, and polymorph, SR 11",7,4,2,14,13,15,10,9,14,Arborea,always,CN,2    ,FF,,,,,,,,,,,,,,,,
Eagle,Small,Animal,,1,5,10,f80 (avg),14,13,12,-4,talons +3 (1d4),2 talons and bite -2 (1d4),-,,LLV,3,4,2,10,15,12,2,14,6,Temperate mountains,always,NN,1/2,MM1,,,,,,,,,,,,,,,,
"Eagle, Crested Sea",Small,Animal,,1,5,10,f80 (avg),14,13,12,-4,talons +3 (1d4),2 talons and bite -2 (1d4),-,,LLV,3,4,2,10,15,12,2,14,6,Temperate mountains,always,NN,1/2,SotAC,,,,,,,,,,,,,,,,
Bael,Large,Outsider,"Baatezu, Evil, Extraplanar, Lawful",35,367,30,,40,14,39,47,+4 Huge flaming burst vicious morningstar +44 (3d6+18/19-20 plus 2d6 plus 1d6 fire),+4 Huge flaming burst vicious morningstar +44/+39/+34/+29 (3d6+18/19-20 plus 2d6 plus 1d6 fire) and bite +37 (1d8+4 plus poison),"Aligned strike, epic strike, fear aura, poison, SLAs, summon baatezu","CL20, at will - animate dead, greater dispel magic, hellfire storm, mass inflict serious wounds, invisibility, pyrotechnics, suggestion, greater teleport (self +50lbs only); 3/day - quickened suggestion; 2/day - air walk, dominate monster, limited wish (fulfill another's wish only); 1/day - symbol of stunning","Change shape, DR 15/epic and good, dark blessing, immunity to fire and poison, perceive corruption, regeneration 10, resistance to acid 10 and cold 10, see in darkness, SR 33, telepathy 100ft, true seeing",34,33,35,26,17,23,16,25,28,Baator (Minauros),always,LE,23,360,,,,,,,,,,,,,,,,
Bahamut,Coloss.,Dragon,,53,1086,60,"f300 (pr), s60",54,2,54,90,Bite +66 (4d8+21),Bite and 2 claws +61 (4d6+10) and 2 wings +61 (2d8+10) and tail slap +61 (4d6+31),"Breath weapon (cone of 3d610 cold, cone of gaseous form, or line of disintegration), frightful presence, spells (sor20 and clr20, all spells require only verbal component), SLAs","CL20, at will - shapechange; 3/day - control water, control weather, control winds, create food and water, detect thoughts, feather fall, fog cloud, foresight, geas/quest, speak with animals, sunburst","DR 25/magic, immunity to acid, cold, electricity, fire, poison, sleep, paralysis, and SR-allowing spells of 5th level and lower, keen senses, scent, see invisibility, SR 30, water breathing",43,29,42,53,10,39,35,36,35,Any land and underground,always,LG,25,272,,,,,,,,,,,,,,,,
Bahamut (The Platinum Dragon),Coloss.,Dragon,Extraplanar,53,1086,60,"f300 (pr), s60",54,2,54,90,Bite +66 (4d8+21/19-20),Bite and 2 claws +61 (4d6+10) and 2 wings +61 (2d8+10) and tail slap +61 (4d6+31),"Breath weapon (36d10 cold, gaseous form, or disintegration), frightful presence, spells (clr 20 and sor20), SLAs","CL20, at will - shapechange; 3/day - control water, control weather, control winds, create food and water, detect thoughts, feather fall, fog cloud, foresight, geas/quest, speak with animals, sunburst","DR 15/epic and evil, immunity to acid, cold, electricity, fire, poison, sleep, paralysis, and spells and SLAs of 5th level or lower, keen senses, scent, see invisibility, water breathing",43,29,42,53,10,39,35,36,35,Celestia (Mercuria),always,LG,25,MotP,,,,,,,,,,,,,,,,
Bajang,Small,Fey,Spirit,6,24,30,c30,18,13,16,0,Claw +6 (1d3+1 plus poison),2 claws,"Poison, SLAs","CL6, 3/day - bane, divination, ghost light, gust of wind, steam breath, transfix","Alternate form, DR 5/cold iron, symbiosis, SR 13",2,7,7,12,15,10,13,14,15,Warm forests,always,CE,3    ,"OA, 318",,,,,,,,,,,,,,,,
Bakkas,Small,Magical Beast,,1,5,10,f50 (avg),15,15,11,-5,Bite +6 (1d4-2 plus disease),2 bites,Disease,,"Blindsight 120ft, see invisibility",2,6,2,6,18,11,2,14,6,Any land and underground,always,NN,1    ,GotP,,,,,,,,,,,,,,,,
Balan,Large,Outsider,"Baatezu, Evil, Extraplanar, Lawful",25,312,30,,40,12,37,42,+5 battleaxe +42 (2d6+18/19-20/x3),+5 battleaxe +42/+37/+32/+27 (2d6+18/19-20/x3) and 2 spines +32 (1d8+6 plus poison); or +5 battleaxe +38/+33/+28/+23 (2d6+18/19-20/x3) and +4 battleaxe +37/+32 (2d6+10/19-20/x3) and 2 spines +32 (1d8+6 plus poison),"Aligned strike, poison, roar, SLAs summon baatezu","CL20, at will - create undead, greater dispel magic, greater invisibility, limited wish (fulfill another's wish only), see invisibility, telekinesis, greater teleport (self +50lbs only), wall of fire; 1/day - transmute rock to lave","DR 15/chaotic and good, immunity to fire and poison, regeneration 10, resistance to acid 10 and cold 10, see in darkness, SR 29, telepathy 100ft",28,22,26,36,17,28,19,24,30,Baator (Phlegethos),always,LE,19,360,,,,,,,,,,,,,,,,
Balhannoth,Large,Aberration,,14,147,50,c50,21,12,18,23,Slam +18 (2d6+9/19-20),2 slams and bite +13 (1d8+4),"Antimagic grapple, constrict 1d8, improved grab",,"Blind, camouflage, DR 15/magic, dimensional lock aura, dweomersight 120ft, immunities",10,9,12,28,17,23,3,12,8,Underground,usually,CN,10,MM4,,,,,,,,,,,,,,,,
Bane Wraith,Medium,Undead,Incorporeal,8,52,40,f80 (prf),17,17,14,-,Incorporeal touch +7 (1d4 Str drain or 1d4 Wis drain),Same as Attack,"Ability drain, create spawn","CL8, at will - detect thoughts, disguise self","DV60, empathic sense, false substance, SLAs, +4 turn resistance",2,5,8,-,17,-,16,14,18,Any land and underground,usually,CE,8    ,HoH,,,,,,,,,,,,,,,,
Banedead,Medium,Undead,,6,39,30,,16,10,16,4,Claw +4 (1d4+1 plus 1 Dex),2 claws and bite +2 (1d6),Dexterity damage,,"DR 5/silver, DV60",2,2,6,13,10,-,10,12,15,Any land,always,LE,3    ,MoF,,,,,,,,,,,,,,,,
Baneguard,Medium,Undead,,4,26,30,,13,10,13,5,Claw +5 (1d4+3) or longsword +5 (1d8+3/19-20),2 claws +5 (1d4+3); or longsword +5 (1d8+3/19-20) and claw +0 (1d4+1),Magic missile,,"Blink, DR 5/bludgeoning, DV60, immunity to cold",1,1,5,16,11,-,9,12,13,Any land and underground,always,NE,2    ,LEoF,,,,,,,,,,,,,,,,
"Baneguard, Direguard",Medium,Undead,,6,39,30,,16,13,16,7,Claw +7 (1d4+4) or masterwork longsword +8 (1d8+4/19-20),2 claws +7 (1d4+4); or masterwork longsword +8 (1d8+4/19-20) and claw +2 (1d4+2),Magic missile,,"Blink, DR 5/bludgeoning, DV60, force armor, immunity to cold, see invisibility",2,2,6,18,11,-,11,12,13,Any land and underground,always,NE,3    ,LEoF,,,,,,,,,,,,,,,,
Banshee,Medium,Undead,Incorporeal,6,39,40,f15 (avg),14,14,13,-,Incorporeal touch +6 (1d8 plus corruption),Same as Attack,Wail of the banshee,,"DV60, SR 22, +4 turn resistance",2,3,-5,-,12,-,12,11,16,Any,always,CE,5    ,Kruk,,,,,,,,,,,,,,,,
Banshee,Medium,Undead,Incorporeal,26,169,,f80 (gd),16,16,13,-,Incorporeal touch +16 (1d8/19-20 plus 1d4 Cha drain),Same as Attack,"Charisma drain, horrific appearance, wail",,"DV60, Detect living, SR 28, stunt plants",8,11,19,-,17,-,16,15,17,Any,usually,NE,17,MM2,,,,,,,,,,,,,,,,
Banshrae,Medium,Fey,,15,97,60,,22,22,22,10,Unarmed strike +15 (2d6+3) or masterwork greater blowgun +15 (1d3),Unarmed strike +15/+10 (2d6+3) or masterwork greater blowgun +15/+10 (1d3),"Bestow curse, blowgun flute, dart cone, locust dart, stunning fist 3/day",,"Cannot speak, LLV, sylvan warrior, telepathy 100ft",8,16,11,16,24,17,14,15,20,Temperate forests,usually,CE,8    ,MM5,,,,,,,,,,,,,,,,
Baphitaur,Medium,Outsider,Native,3,16,30,,19,11,18,5,Greataxe +5 (1d12+3/x3) or gore +5 (1d6+3),Greataxe and gore,"Darkness, powerful charge 2d6+3, rage 1/day",,"DV60, natural cunning, resistance to cold 5, electricity 5, and fire 5, scent",4,4,3,15,12,13,11,10,8,Underground,usually,CE,2    ,Under,,,,,,,,,,,,,,,,
Baphomet (Prince of Beasts),Huge,Outsider,"Chaotic, Evil, Extraplanar, Tanar'ri",24,372,60,,38,11,38,43,+2 wounding glaive +30 (3d8+28/19-20/x3) or claw +33 (1d8+11) (glaive adj for Pwr Atk),+2 wounding glaive +30/+25/+20/+15 (3d8+28/19-20/x3) and gore +28 (2d8+5); or 2 claws +33 (1d8+11) and gore +28 (2d8+5) (glaive adj for Pwr Atk),"Bellow, breath weapon 12d6 negative energy, powerful charge, SLAs, summon tanar'ri","CL20, at will - astral projection, desecrate, detect good, detect law, greater dispel magic, dominate animal, fly, passwall, telekinesis, greater teleport; 3/day - maze, symbol of fear; 1/day - awaken","DR 20/cold iron and good, DV60, immunity to electricity and poison, natural cunning, resistance to acid 10, cold 10, and fire 10, scent, SR 31, telepathy 300ft, true seeing, wild empathy +31 (+27 magical beast)",25,17,22,33,16,33,18,26,20,The Abyss (Endless Maze),always,CE,20,FC1,,,,,,,,,,,,,,,,
Barachiel (The Messenger),Large,Outsider,"Archon, Extraplanar, Good, Lawful",33,412,40,f120 (prf),42,35,30,45,Electrified longsword +40 (2d6+12/19-20 plus 2d6 electricity),Electrified longsword +40/+35/+30/+25 (2d6+12/19-20 plus 2d6 electricity),"Electrify blade, lightning stroke, spells (clr20), SLAs, summon archons, trumpet","CL20, at will - consecrate, daylight, detect chaos, detect evil, continual flame, crown of brilliance, dream, greater dispel magic, hallow, heavenly lightning, holy aura, holy smite, holy word, message, nightmare, power word stun, ray of hope, sending, shield of the archons, sword of conscience, tomb of light, true seeing, vision of heaven; 1/day - miracle, true resurrection","Aura of menace, DR 15/evil, DV60, immunity to electricity and petrification, indelible imprint, LLV, magic circle against evil, SR 32, teleport, tongues, +4 on saves vs. poison",26,30,25,27,34,27,27,20,29,Celestia (Lunia),always,LG,22,BoED,,,,,,,,,,,,,,,,
Barghest,Medium,Outsider,"Evil, Extraplanar, Lawful, Shapechanger",6,33,30,,18,12,16,9,Bite +9 (1d6+3),Bite and 2 claws +4 (1d4+1),"SLAs, feed","CLHD, at will - blink, levitate, misdirection, rage; 1/day - charm monster, crushing despair, dimension door","Change shape, DR 5/magic, DV60, scent; in wolf form, pass without trace as spell as free action",6,7,7,17,15,13,14,14,14,Gehenna,always,LE,4    ,MM1,,,,,,,,,,,,,,,,
"Barghest, Greater",Large,Outsider,"Evil, Extraplanar, Lawful, Shapechanger",9,67,40,,20,11,18,18,Bite +13 (1d8+5),Bite and 2 claws +8 (1d6+2),"SLAs, feed","CLHD, at will - blink, invisibility sphere, levitate, misdirection, rage; 1/day - charm monster, crushing despair, dimension door, mass bull's strength, mass enlarge","Change shape, DR 10/magic, DV60, scent; in wolf form, pass without trace as spell as free action",9,8,10,20,15,16,18,18,18,Gehenna,always,LE,5    ,MM1,,,,,,,,,,,,,,,,
Bariaur,Large,Outsider,"Chaotic, Extraplanar, Good",3,16,30,,14,9,14,8,Scimitar +4 (1d6+2/18-20) or composite longbow (+1 Str bonus) +2 (1d8+1/19-20) or hoof +4 (1d6+2),Scimitar and 2 hooves -1 (1d6+2); or composite longbow (+1 Str bonus); or 2 hooves,Powerful charge 2d6+2,,SR 11,4,3,3,15,10,13,10,10,9,Ysgard,often,CG,3    ,BoED,,,,,,,,,,,,,,,,
"Bariaur, Defender of Ysgard",Large,Outsider,"Chaotic, Extraplanar, Good",9,49,40,,15,9,15,15,+1 scimitar +12 (1d6+3/18-20) or masterwork composite longbow (+3 Str bonus) +9 (1d8+3/x3) or hoof +10 (1d6+2),+1 scimitar +12/+7 (1d6+3/18-20); or +1 scimitar +10/+5 (1d6+3/18-20) and +1 light spiked shield +10/+5 (1d4+1); or masterwork composite longbow (+3 Str bonus) +9/+4 (1d8+3/x3),"Favored enemies, improved combat style (two-weapon combat), powerful charge 2d6+2",,"Animal companion, SR 17, wild empathy",9,8,5,15,10,13,10,11,9,Ysgard,always,CG,9    ,BoED,,,,,,,,,,,,,,,,
"Falcon, Trained",Tiny,Animal,,1,4,10,f70 (avg),17,15,14,-10,Talons +5 (1d4-2),Same as Attack,-,,LLV,2,5,2,6,17,10,2,14,6,Temperate forests,always,NN,1/3,DDen,,,,,,,,,,,,,,,,
Fellhawk,Small,Animal,,1,8,10,f80 (avg),14,13,12,-4,Talons +3 (1d4),Talons and bite -2 (1d3),-,,LLV,3,4,2,10,15,12,2,14,6,Any temperate,always,NN,1/2,Loona,,,,,,,,,,,,,,,,
Basidirond,Medium,Plant,,8,60,20,,18,11,17,11,Slam +11 (1d8+7),Same as Attack,"Hallucinatory spores, smothering",,"LLV, partial cold immunity",9,3,2,20,13,17,-,11,10,Temperate forests,always,NN,5    ,337,,,,,,,,,,,,,,,,
Basilisk,Medium,Magical Beast,,6,45,20,,16,9,16,8,Bite +8 (1d8+3),Same as Attack,Petrifying gaze,,"DV60, LLV",9,4,3,15,8,15,2,12,11,Warm deserts,always,NN,5    ,MM1,,,,,,,,,,,,,,,,
"Basilisk, Abyssal Greater",Large,Outsider,"Augmented Magical Beast, Extraplanar",18,189,20,,17,8,17,29,Bite +25 (2d8+10),Same as Attack,"Petrifying gaze, smite good",,"DR 10/magic, DV60, LLV, resistance to cold 10 and fire 10, SR 23",18,12,8,24,8,21,3,10,15,The Abyss,always,CE,12,MM1,,,,,,,,,,,,,,,,
"Basilisk, Salt",Large,Magical Beast,,8,60,20,"b20, f90 (avg)",18,12,15,15,Bite +11 (2d6+4),Same as Attack,Salt gaze,,"DV60, LLV, sprint",8,11,2,17,16,15,2,10,10,Warm deserts,always,NN,5    ,DDen,,,,,,,,,,,,,,,,
"Fox, Arctic",Medium,Animal,,1,3,40,,15,14,12,-6,Bite +4 (1d4-2),Same as Attack,-,,"LLV, scent",1,5,1,6,17,8,2,13,6,Cold plains,always,NN,1/4,Frost,,,,,,,,,,,,,,,,
"Bat, Deep, Bonebat",Medium,Undead,,4,26,10,f50 (avg),13,11,12,3,Bite +3 (1d6+1 plus paralysis),Same as Attack,Paralysis,,"DR 5/bludgeoning, DV120, see invisibility",1,2,4,12,13,-,6,10,14,Any land and underground,always,NE,2    ,MoF,,,,,,,,,,,,,,,,
"Bat, Deep, Night Hunter",Medium,Magical Beast,,2,13,10,f50 (prf),14,1,13,2,Tail stab +2 (1d6),Tail stab and bite +0 (1d6) and 2 claws +0 (1d4),Frightful presence,,"DV60, LLV",4,6,0,10,16,13,11,11,10,Any land and underground,usually,NE,1    ,MoF,,,,,,,,,,,,,,,,
"Bat, Deep, Sinister",Large,Magical Beast,,4,34,10,f50 (prf),17,14,16,12,Bite +7 (1d6+6),Same as Attack,Hold monster,,"DV60, LLV, missile deflection, SR 13",7,5,3,19,13,16,12,14,13,Any land and underground,usually,LN,3    ,MoF,,,,,,,,,,,,,,,,
Funno,Small,Animal,,1,5,20,b10,15,14,12,-6,Bite +4 (1d3-2),Same as Attack,-,,"DV60, LLV, scent",3,5,1,6,17,12,2,12,6,Underground,always,NN,1/4,BoKR,,,,,,,,,,,,,,,,
Goat,Small,Animal,,1,4,30,,13,12,12,-5,Butt +0 (1d4-1),Butt and bite -5 (1),-,,"LLV, scent",2,3,0,8,13,11,1,11,5,Any land,always,NN,1/2,DDen,,,,,,,,,,,,,,,,
Hawk,Tiny,Animal,,1,4,10,f60 (avg),17,15,14,-10,Talons +5 (1d4-2),Same as Attack,-,,LLV,2,5,2,6,17,10,2,14,6,Temperate forests,always,NN,1/3,MM1,,,,,,,,,,,,,,,,
Huitzil,Tiny,Animal,Dragonblood,1,4,10,f60 (avg),17,14,15,-11,Bite +4 (1d3-3),Bite and talons -1 (1d2-3),Distract,,LLV,2,4,0,5,15,10,2,11,8,Any forest,always,NN,1/3,DrM,,,,,,,,,,,,,,,,
Bathym,Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",25,312,30,,40,11,39,32,Bleakness +35 (1d8+10),Bleakness +35/+30/+25/+20 (1d8+10); or bleakness +33/+28/+23/+18 (1d8+10) and Incisor +33/+28/+23 (1d6+6/17-20),"Aligned strike, Bleakness, frightful presence, Incisor, SLAs, summon baatezu","CL19, at will - blink, confusion, deeper darkness, limited wish (fulfill another's wish only), pyrotechnics, see invisibility, greater teleport (self +50lbs only), tongues, wall of fire, wraithstrike, veil of shadow; 3/day - delayed blast fireball; 1/day - feeblemind, symbol of sleep","DR 15/good and silver, immunity to critical hits, fire, and poison, regeneration 10, resistance to acid 10 and cold 10, see in darkness, SR 29, telepathy 100ft",27,22,25,25,17,27,20,23,22,Baator (Phlegethos),always,LE,19,360,,,,,,,,,,,,,,,,
Battle Effigy,Medium,Construct,,7,58,20,,18,10,18,9,Greataxe +9 (1d12+6/x3 plus stun),Same as Attack,Stun,,"DR 5/adamantine, DV60, FH5, LLV",2,2,2,18,10,-,-,11,1,Any land and underground,always,NN,6    ,CoV,,,,,,,,,,,,,,,,
